epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0606,0.99203,2.87208,1.15052,0.49299,0.34555,0.35515,0.27905,0.85293,1.6351,1.00862,0.067,3.3033e-05,3.3033e-05
2,54.5234,0.81776,1.25243,1.02627,0.67828,0.45284,0.5284,0.41947,0.69376,1.0726,0.95204,0.0336997,6.60346e-05,6.60346e-05
3,80.3265,0.75845,0.99818,0.99827,0.78585,0.52713,0.61142,0.48734,0.63806,0.84685,0.9133,0.000399003,9.87028e-05,9.87028e-05
4,106.152,0.7209,0.86251,0.96661,0.84416,0.53045,0.63027,0.51765,0.58993,0.7257,0.87434,9.85002e-05,9.85002e-05,9.85002e-05
5,132.276,0.69087,0.78492,0.95788,0.8042,0.59755,0.66897,0.53504,0.59695,0.68742,0.88964,9.80002e-05,9.80002e-05,9.80002e-05
6,158.475,0.65209,0.71902,0.93768,0.85422,0.57888,0.6808,0.54221,0.5941,0.67778,0.87783,9.75003e-05,9.75003e-05,9.75003e-05
7,185.208,0.6403,0.68317,0.93204,0.82517,0.60116,0.68189,0.54144,0.59814,0.66552,0.88795,9.70003e-05,9.70003e-05,9.70003e-05
8,211.961,0.62544,0.64075,0.92177,0.89347,0.59473,0.70473,0.56122,0.57557,0.66025,0.87126,9.65004e-05,9.65004e-05,9.65004e-05
9,238.545,0.62641,0.60682,0.92146,0.86743,0.62997,0.71966,0.58169,0.55932,0.59504,0.86298,9.60004e-05,9.60004e-05,9.60004e-05
10,265.506,0.60534,0.59583,0.91569,0.88713,0.61596,0.72249,0.5892,0.55024,0.58648,0.85849,9.55004e-05,9.55004e-05,9.55004e-05
11,292.71,0.59343,0.59231,0.90892,0.82868,0.65134,0.72803,0.58729,0.55301,0.56151,0.86309,9.50005e-05,9.50005e-05,9.50005e-05
12,319.985,0.58775,0.56944,0.90288,0.8295,0.6739,0.732,0.59638,0.54962,0.57267,0.86533,9.45006e-05,9.45006e-05,9.45006e-05
13,346.944,0.57359,0.548,0.89854,0.86815,0.64419,0.73362,0.59092,0.54411,0.56687,0.86455,9.40006e-05,9.40006e-05,9.40006e-05
14,375.507,0.57817,0.54114,0.89395,0.87527,0.65907,0.73833,0.59781,0.54058,0.56258,0.8528,9.35007e-05,9.35007e-05,9.35007e-05
15,405.467,0.57491,0.5335,0.89413,0.83467,0.67462,0.73797,0.60661,0.53428,0.56203,0.85942,9.30007e-05,9.30007e-05,9.30007e-05
16,433.248,0.55408,0.50082,0.88675,0.90745,0.65384,0.73898,0.5991,0.53238,0.5377,0.85406,9.25008e-05,9.25008e-05,9.25008e-05
17,460.09,0.55583,0.51884,0.88987,0.86444,0.65194,0.73115,0.59758,0.52394,0.53994,0.85365,9.20008e-05,9.20008e-05,9.20008e-05
18,486.678,0.56084,0.50828,0.88687,0.89997,0.65107,0.73492,0.59653,0.54422,0.5807,0.86531,9.15009e-05,9.15009e-05,9.15009e-05
